vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
TAPAN KUMAR DHAR,1057226.0,1,1057226.0,16.15,V1
YUVRAJ ELECTRICALS,1055975.0,1,1055975.0,16.15,V1
PRANABJYOTI SAIKIA,1055339.0,2,527669.5,35.04,V1
Assistant EngineerII Ramanaguda block,1050000.0,3,350000.0,44.94333333333333,V1
Waisong Terang,1046869.0,4,261717.25,46.504999999999995,V1
SATYA VIJAY SINGH,1045023.0,2,522511.5,34.575,V1
DHRUV SINGH CONTRACTOR AND SUPPLIER,1037220.0,3,345740.0,45.13,V1
PAMPAPATI H BELAGAL,1032626.0,4,258156.5,46.76,V1
NOUSHAD M,1029779.0,1,1029779.0,16.15,V1
RS Industries,1025000.0,3,341666.6666666667,45.14333333333334,V1
SHANSHANK ENTERPRISES CONTRACTOR,1022827.0,13,78679.0,54.11,V1
G K SPORTS,1005903.0,1,1005903.0,16.15,V1
Jaybharat Majoor Sahakari Sanstha M Latur,1000000.0,1,1000000.0,17.74,V1
Gram Panchayat Khaira La,1000000.0,1,1000000.0,16.15,V1
N Yona Konya,1000000.0,1,1000000.0,16.15,V1
Mukthi Kiran Kumar,1000000.0,2,500000.0,34.33,V1
NEERAJ DATTATRAY RANDIVE,1000000.0,1,1000000.0,12.54,V1
President pulgaon MKSSS Ltd Pulgaon,1000000.0,1,1000000.0,16.15,V1
RITVI CONSTRUCTIONS,1000000.0,1,1000000.0,16.15,V1
SUHANI CONSTRUCTION,1000000.0,2,500000.0,14.39,V1
ECO COOLING SOLUTIONS,1000000.0,1,1000000.0,16.15,V1
Ankodiya Gram Panchayat,1000000.0,2,500000.0,34.33,V1
KPK construction,1000000.0,1,1000000.0,16.15,V1
S SYED SIRAJUDEEN,1000000.0,1,1000000.0,16.15,V1
MS W M TRADERS,1000000.0,2,500000.0,34.33,V1
VINAYAK ANANDRAV INGAVLE,1000000.0,1,1000000.0,16.15,V1
ASST ENG III,1000000.0,2,500000.0,34.33,V1
GRAM PANCHAYAT PADAJHIR,1000000.0,1,1000000.0,16.15,V1
ACUTE ENGINEERS AND CONTRACTORS OPC PRIVATE LIMITED,1000000.0,1,1000000.0,16.15,V1
Khokhar Gram Panchayat,1000000.0,2,500000.0,34.33,V1
Thandu Saidulu,1000000.0,2,500000.0,34.33,V1
VASANTDADA PATIL MAJUR SAHAKARI SOCIETY LTD DHAVALESHWAR,999994.0,1,999994.0,16.15,V1
Shaik Tajuddin Ahmed,999980.0,2,499990.0,34.33,V1
SHRI RAMESHWAR CONSTRUCTION,999967.0,1,999967.0,16.15,V1
TECHDRIVE ENGINEERING PRIVATE LIMITED,999897.0,1,999897.0,16.15,V1
NARBADA CONSTRUCTION COMPANY,999841.0,1,999841.0,13.02,V1
T NAGA BHARGAVA REDDY,999789.0,2,499894.5,34.33,V1
GANTHOLIYA ENTERPRISES,999737.0,1,999737.0,16.15,V1
Megha Construction Company,999720.0,1,999720.0,16.15,V1
MURUGAN G,999628.0,1,999628.0,16.15,V1
THANGARAJA S,999593.0,1,999593.0,16.15,V1
JAI SANTOSHI MATA MSS LTD CHH SAMBHAJINAGAR,999563.0,1,999563.0,16.15,V1
PERUMAL P,999494.0,1,999494.0,16.15,V1
KATTA PRASANNA KUMAR,999468.0,1,999468.0,16.15,V1
SHIVA SAI SC WELFARE ASSOCIATION,999457.0,2,499728.5,34.33,V1
RAMESH G M,999423.0,2,499711.5,34.33,V1
RAJEEV KUMAR SINGH,999370.0,1,999370.0,16.15,V1
Magasvargiya Suyash tantrik majoor sah santha,999338.0,1,999338.0,16.15,V1
KIRAN GOWDA,999182.0,2,499591.0,34.33,V1
VEERAMANI S,999011.0,1,999011.0,16.15,V1
NINAD VIKHALE,999000.0,1,999000.0,16.15,V1
ULTIMATE SOLUTION,999000.0,1,999000.0,16.15,V1
AMBIKA MAJOOR SAHAKARI SANSTHA MARYADIT,998925.0,1,998925.0,16.15,V1
